Problem,TrainSize,TestSize,NumDimensions,SeriesLength,NumClasses
ArticularyWordRecognition,275,300,9,144,25
AtrialFibrillation,15,15,2,640,3
BasicMotions,40,40,6,100,4
Cricket,108,72,6,1197,12
EigenWorms,128,131,6,17984,5
Epilepsy,137,138,3,206,4
EthanolConcentration,261,263,3,1751,4
ERing,30,270,4,65,6
FingerMovements,316,100,28,50,2
HandMovementDirection,160,74,10,400,4
Handwriting,150,850,3,152,26
Heartbeat,204,205,61,405,2
Libras,180,180,2,45,15
LSST,2459,2466,6,36,14
MotorImagery,278,100,64,3000,2
NATOPS,180,180,24,51,6
PenDigits,7494,3498,2,8,10
PEMS-SF,267,173,963,144,7
RacketSports,151,152,6,30,4
SelfRegulationSCP1,268,293,6,896,2
SelfRegulationSCP2,200,180,7,1152,2
StandWalkJump,12,15,4,2500,3
UWaveGestureLibrary,120,320,3,315,8
